"data_id","age","language","form","birth_order","ethnicity","sex","zygosity","original_id","norming","longitudinal","source_name","mom_ed","measure","vocab","cross_sectional","demo","n","demo_label"
146566,11,"English (American)","WG","Second","White","Male",NA,"I210346",TRUE,FALSE,"Marchman","Secondary","comprehension",79,TRUE,"All Data",1071,"All Data (n = 1071)"
146567,11,"English (American)","WG","Seventh","White","Male",NA,"I210396",TRUE,FALSE,"Marchman","Secondary","comprehension",39,TRUE,"All Data",1071,"All Data (n = 1071)"
146568,13,"English (American)","WG","First","White","Male",NA,"I210530",TRUE,FALSE,"Marchman","Graduate","comprehension",109,TRUE,"All Data",1071,"All Data (n = 1071)"
146569,9,"English (American)","WG","Second","White","Male",NA,"I210540",TRUE,FALSE,"Marchman","Graduate","comprehension",4,TRUE,"All Data",1071,"All Data (n = 1071)"
146570,11,"English (American)","WG","Second","White","Male",NA,"I210580",TRUE,FALSE,"Marchman","College","comprehension",60,TRUE,"All Data",1071,"All Data (n = 1071)"
146571,11,"English (American)","WG","Second","White","Male",NA,"I210589",TRUE,FALSE,"Marchman","Graduate","comprehension",30,TRUE,"All Data",1071,"All Data (n = 1071)"
146572,12,"English (American)","WG","First","White","Male",NA,"I210606",TRUE,FALSE,"Marchman","College","comprehension",227,TRUE,"All Data",1071,"All Data (n = 1071)"
146573,12,"English (American)","WG","First","White","Female",NA,"I210607",TRUE,FALSE,"Marchman","Secondary","comprehension",148,TRUE,"All Data",1071,"All Data (n = 1071)"
146574,13,"English (American)","WG","First","White","Male",NA,"I210612",TRUE,FALSE,"Marchman","College","comprehension",109,TRUE,"All Data",1071,"All Data (n = 1071)"
146575,13,"English (American)","WG","Second","White","Male",NA,"I210644",TRUE,FALSE,"Marchman","Secondary","comprehension",121,TRUE,"All Data",1071,"All Data (n = 1071)"
146576,9,"English (American)","WG","First","White","Female",NA,"I210656",TRUE,FALSE,"Marchman","College","comprehension",22,TRUE,"All Data",1071,"All Data (n = 1071)"
146577,8,"English (American)","WG","First","White","Female",NA,"I210680",TRUE,FALSE,"Marchman","Graduate","comprehension",11,TRUE,"All Data",1071,"All Data (n = 1071)"
146578,16,"English (American)","WG","Second","White","Female",NA,"I210903",TRUE,FALSE,"Marchman","College","comprehension",275,TRUE,"All Data",1071,"All Data (n = 1071)"
146579,9,"English (American)","WG","Second","White","Female",NA,"I210924",TRUE,FALSE,"Marchman","Some College","comprehension",21,TRUE,"All Data",1071,"All Data (n = 1071)"
146580,9,"English (American)","WG","First","White","Female",NA,"I210928",TRUE,FALSE,"Marchman","College","comprehension",38,TRUE,"All Data",1071,"All Data (n = 1071)"
146581,11,"English (American)","WG","Second","White","Female",NA,"I211041",TRUE,FALSE,"Marchman","Graduate","comprehension",41,TRUE,"All Data",1071,"All Data (n = 1071)"
146582,15,"English (American)","WG","Second","White","Male",NA,"I211310",TRUE,FALSE,"Marchman","Secondary","comprehension",314,TRUE,"All Data",1071,"All Data (n = 1071)"
146583,9,"English (American)","WG","Third","White","Male",NA,"I211430",TRUE,FALSE,"Marchman","Graduate","comprehension",0,TRUE,"All Data",1071,"All Data (n = 1071)"
146584,13,"English (American)","WG","Second","White","Female",NA,"I211444",TRUE,FALSE,"Marchman","Graduate","comprehension",67,TRUE,"All Data",1071,"All Data (n = 1071)"
146585,12,"English (American)","WG","First","White","Male",NA,"I211564",TRUE,FALSE,"Marchman","Secondary","comprehension",77,TRUE,"All Data",1071,"All Data (n = 1071)"
146586,11,"English (American)","WG","First","White","Female",NA,"I211714",TRUE,FALSE,"Marchman","Secondary","comprehension",150,TRUE,"All Data",1071,"All Data (n = 1071)"
146587,17,"English (American)","WG","First","White","Male",NA,"I211731",TRUE,FALSE,"Marchman","Some College","comprehension",9,TRUE,"All Data",1071,"All Data (n = 1071)"
146588,16,"English (American)","WG","First","White","Female",NA,"I211918",TRUE,FALSE,"Marchman","Some College","comprehension",90,TRUE,"All Data",1071,"All Data (n = 1071)"
146589,17,"English (American)","WG","First","White","Male",NA,"I212013",TRUE,FALSE,"Marchman","College","comprehension",117,TRUE,"All Data",1071,"All Data (n = 1071)"
146590,16,"English (American)","WG","Second","White","Male",NA,"I212067",TRUE,FALSE,"Marchman","Some College","comprehension",159,TRUE,"All Data",1071,"All Data (n = 1071)"
146591,16,"English (American)","WG","First","White","Male",NA,"I212071",TRUE,FALSE,"Marchman","Graduate","comprehension",157,TRUE,"All Data",1071,"All Data (n = 1071)"
146592,16,"English (American)","WG","Second","White","Female",NA,"I212084",TRUE,FALSE,"Marchman","College","comprehension",173,TRUE,"All Data",1071,"All Data (n = 1071)"
146593,16,"English (American)","WG","First","White","Female",NA,"I212104",TRUE,FALSE,"Marchman","College","comprehension",396,TRUE,"All Data",1071,"All Data (n = 1071)"
146594,17,"English (American)","WG","First","Hispanic","Male",NA,"I212434",TRUE,FALSE,"Marchman","College","comprehension",279,TRUE,"All Data",1071,"All Data (n = 1071)"
146595,8,"English (American)","WG","Third","White","Male",NA,"I213028",TRUE,FALSE,"Marchman","College","comprehension",67,TRUE,"All Data",1071,"All Data (n = 1071)"
146596,17,"English (American)","WG","Second","White","Female",NA,"I213103",TRUE,FALSE,"Marchman","Some College","comprehension",321,TRUE,"All Data",1071,"All Data (n = 1071)"
146597,8,"English (American)","WG","Second","Black","Male",NA,"I213140",TRUE,FALSE,"Marchman",NA,"comprehension",66,TRUE,"All Data",1071,"All Data (n = 1071)"
146598,15,"English (American)","WG","Second","Black","Male",NA,"I213319",TRUE,FALSE,"Marchman","Secondary","comprehension",338,TRUE,"All Data",1071,"All Data (n = 1071)"
146599,13,"English (American)","WG","Fourth","Black","Male",NA,"I213631",TRUE,FALSE,"Marchman","Some College","comprehension",206,TRUE,"All Data",1071,"All Data (n = 1071)"
146600,12,"English (American)","WG","Third","Black","Male",NA,"I213632",TRUE,FALSE,"Marchman","Some Secondary","comprehension",22,TRUE,"All Data",1071,"All Data (n = 1071)"
146601,11,"English (American)","WG","First","Black","Female",NA,"I213643",TRUE,FALSE,"Marchman","Some Secondary","comprehension",158,TRUE,"All Data",1071,"All Data (n = 1071)"
146602,8,"English (American)","WG","Second","White","Male",NA,"I213663",TRUE,FALSE,"Marchman","Graduate","comprehension",4,TRUE,"All Data",1071,"All Data (n = 1071)"
146603,9,"English (American)","WG","Third","Asian","Male",NA,"I213664",TRUE,FALSE,"Marchman","College","comprehension",15,TRUE,"All Data",1071,"All Data (n = 1071)"
146604,9,"English (American)","WG","Second","White","Male",NA,"I213668",TRUE,FALSE,"Marchman","Some Graduate","comprehension",5,TRUE,"All Data",1071,"All Data (n = 1071)"
146605,8,"English (American)","WG","Second","White","Male",NA,"I213715",TRUE,FALSE,"Marchman","Secondary","comprehension",28,TRUE,"All Data",1071,"All Data (n = 1071)"
146606,16,"English (American)","WG","Third","White","Male",NA,"I213752",TRUE,FALSE,"Marchman","College","comprehension",72,TRUE,"All Data",1071,"All Data (n = 1071)"
146607,17,"English (American)","WG","Second","White","Male",NA,"I214105",TRUE,FALSE,"Marchman","Graduate","comprehension",243,TRUE,"All Data",1071,"All Data (n = 1071)"
146608,17,"English (American)","WG","Second","White","Female",NA,"I214110",TRUE,FALSE,"Marchman","College","comprehension",330,TRUE,"All Data",1071,"All Data (n = 1071)"
146609,17,"English (American)","WG","First","White","Male",NA,"I214126",TRUE,FALSE,"Marchman","Secondary","comprehension",125,TRUE,"All Data",1071,"All Data (n = 1071)"
