"language","measure","form","age","baby
(baby)","book
(book)","bottle
(bottle)","cat
(cat)","dog
(dog)","hand
(hand)","shoe
(shoe)","spoon
(spoon)"
"English (American)","understands","WG",8,0.314285714285714,0.257142857142857,0.457142857142857,0.228571428571429,0.342857142857143,0.142857142857143,0.2,0.0857142857142857
"English (American)","understands","WG",9,0.287234042553192,0.351063829787234,0.542553191489362,0.276595744680851,0.361702127659574,0.148936170212766,0.148936170212766,0.202127659574468
"English (American)","understands","WG",10,0.354838709677419,0.374193548387097,0.580645161290323,0.316129032258064,0.458064516129032,0.154838709677419,0.264516129032258,0.174193548387097
"English (American)","understands","WG",11,0.5,0.606382978723404,0.712765957446808,0.425531914893617,0.670212765957447,0.25531914893617,0.5,0.351063829787234
"English (American)","understands","WG",12,0.594405594405594,0.699300699300699,0.762237762237762,0.475524475524476,0.692307692307692,0.293706293706294,0.636363636363636,0.405594405594406
"English (American)","understands","WG",13,0.662337662337662,0.862337662337662,0.722077922077922,0.651948051948052,0.835064935064935,0.425974025974026,0.766233766233766,0.502597402597403
"English (American)","understands","WG",14,0.684615384615385,0.784615384615385,0.730769230769231,0.692307692307692,0.838461538461538,0.423076923076923,0.8,0.523076923076923
"English (American)","understands","WG",15,0.818181818181818,0.884297520661157,0.84297520661157,0.652892561983471,0.84297520661157,0.578512396694215,0.884297520661157,0.59504132231405
"English (American)","understands","WG",16,0.82,0.96,0.82,0.75,0.91,0.67,0.99,0.74
"English (American)","understands","WG",17,0.948717948717949,0.974358974358974,0.858974358974359,0.871794871794872,0.948717948717949,0.782051282051282,0.961538461538462,0.782051282051282
"English (American)","understands","WG",18,0.928571428571429,0.976190476190476,0.880952380952381,0.892857142857143,0.964285714285714,0.857142857142857,0.988095238095238,0.916666666666667
