"","Book","Bottle","Cat","Dog","Shoes","Spoon"
"Book",1,-0.186821219793128,-0.186821219793128,-0.17741935483871,-0.23207638183281,-0.214206246189421
"Bottle",-0.186821219793128,1,-0.19672131147541,-0.186821219793128,-0.244374649984476,-0.134081423119975
"Cat",-0.186821219793128,-0.19672131147541,1,0.226449963385609,-0.244374649984476,-0.225557534220519
"Dog",-0.17741935483871,-0.186821219793128,0.226449963385609,1,-0.23207638183281,-0.214206246189421
"Shoes",-0.23207638183281,-0.244374649984476,-0.244374649984476,-0.23207638183281,1,-0.280196096005545
"Spoon",-0.214206246189421,-0.134081423119975,-0.225557534220519,-0.214206246189421,-0.280196096005545,1
