,BABY,BOOK,BOTTLE,CAT,DOG,HAND,SHOE,SPOON,words
103,0.9985288301111273,0.8649974374866046,0.9295359586241757,0.6418538861723948,0.9295359586241757,2.2512917986064953,0.9985288301111273,0.9985288301111273,foot
104,0.9985288301111273,1.2396908869280152,1.3350010667323402,0.8043728156701697,1.1526795099383855,0.9295359586241757,1.4403615823901665,2.538973871058276,fork
105,1.2396908869280152,0.9985288301111273,1.072636802264849,1.55814461804655,1.6916760106710724,0.8649974374866046,1.1526795099383855,1.1526795099383855,frog
106,1.072636802264849,1.3350010667323402,1.4403615823901665,0.8649974374866046,1.2396908869280152,0.9985288301111273,1.55814461804655,1.55814461804655,garage
107,0.9295359586241757,0.9295359586241757,0.9985288301111273,0.6931471805599453,0.9985288301111273,0.9295359586241757,1.072636802264849,1.072636802264849,garden
108,0.9295359586241757,0.7472144018302211,0.8043728156701697,1.55814461804655,1.55814461804655,0.6418538861723948,0.8649974374866046,0.8649974374866046,giraffe
109,1.55814461804655,1.072636802264849,1.1526795099383855,1.072636802264849,1.55814461804655,1.1526795099383855,1.2396908869280152,1.2396908869280152,girl
110,1.6916760106710724,1.1526795099383855,1.2396908869280152,1.1526795099383855,1.6916760106710724,1.2396908869280152,1.3350010667323402,1.3350010667323402,girl
111,1.1526795099383855,1.4403615823901665,2.2512917986064953,0.9295359586241757,1.3350010667323402,1.072636802264849,1.6916760106710724,2.538973871058276,glass
112,0.9985288301111273,1.2396908869280152,1.55814461804655,0.8043728156701697,1.1526795099383855,0.9295359586241757,1.4403615823901665,1.6916760106710724,glasses
113,0.9985288301111273,0.8043728156701697,0.8649974374866046,1.2396908869280152,1.3350010667323402,0.6931471805599453,0.9295359586241757,0.9295359586241757,goose
114,1.55814461804655,0.9295359586241757,0.9985288301111273,0.9295359586241757,1.3350010667323402,0.9985288301111273,1.072636802264849,1.072636802264849,grandma
115,1.55814461804655,0.9295359586241757,0.9985288301111273,0.9295359586241757,1.3350010667323402,0.9985288301111273,1.072636802264849,1.072636802264849,grandpa
116,1.1526795099383855,1.2396908869280152,1.3350010667323402,0.9295359586241757,1.3350010667323402,1.072636802264849,1.4403615823901665,1.4403615823901665,hair
117,0.9985288301111273,1.2396908869280152,1.55814461804655,0.8043728156701697,1.1526795099383855,0.9295359586241757,1.4403615823901665,1.6916760106710724,hammer
118,1.072636802264849,0.9295359586241757,0.9985288301111273,0.6931471805599453,0.9985288301111273,3.6375861597263857,1.072636802264849,1.072636802264849,hand
119,1.072636802264849,1.3350010667323402,1.4403615823901665,0.8649974374866046,1.2396908869280152,0.9985288301111273,1.845826690498331,1.55814461804655,hat
120,1.1526795099383855,0.9985288301111273,1.072636802264849,0.7472144018302211,1.072636802264849,2.2512917986064953,1.1526795099383855,1.1526795099383855,head
121,0.9985288301111273,0.9985288301111273,1.072636802264849,0.7472144018302211,1.072636802264849,0.9985288301111273,1.1526795099383855,1.1526795099383855,home
122,1.1526795099383855,1.4403615823901665,1.55814461804655,0.9295359586241757,1.3350010667323402,1.072636802264849,1.6916760106710724,1.6916760106710724,home
123,0.9295359586241757,0.7472144018302211,0.8043728156701697,1.55814461804655,1.55814461804655,0.6418538861723948,0.8649974374866046,0.8649974374866046,horse
124,1.1526795099383855,1.4403615823901665,1.55814461804655,0.9295359586241757,1.3350010667323402,1.072636802264849,1.6916760106710724,1.6916760106710724,house
125,0.9295359586241757,0.8043728156701697,0.8649974374866046,0.5930637220029626,0.8649974374866046,0.9295359586241757,0.9295359586241757,0.9295359586241757,ice_cream
126,0.9295359586241757,1.1526795099383855,1.2396908869280152,0.7472144018302211,1.072636802264849,0.8649974374866046,1.55814461804655,1.3350010667323402,jacket
127,0.9985288301111273,1.2396908869280152,1.3350010667323402,0.8043728156701697,1.1526795099383855,0.9295359586241757,1.6916760106710724,1.4403615823901665,jeans
128,1.2396908869280152,1.55814461804655,1.6916760106710724,0.9985288301111273,1.4403615823901665,1.1526795099383855,1.845826690498331,1.845826690498331,jeans
129,1.1526795099383855,0.9985288301111273,1.072636802264849,0.7472144018302211,1.072636802264849,1.1526795099383855,1.1526795099383855,1.1526795099383855,juice
130,1.1526795099383855,1.4403615823901665,1.845826690498331,0.9295359586241757,1.3350010667323402,1.072636802264849,1.6916760106710724,2.0281482472922856,keys
131,1.072636802264849,1.3350010667323402,1.4403615823901665,0.8649974374866046,1.2396908869280152,0.9985288301111273,1.55814461804655,1.55814461804655,kitchen
132,0.9985288301111273,0.8649974374866046,0.9295359586241757,0.6418538861723948,0.9295359586241757,1.55814461804655,0.9985288301111273,0.9985288301111273,knee
133,1.55814461804655,1.072636802264849,1.1526795099383855,1.072636802264849,1.55814461804655,1.1526795099383855,1.2396908869280152,1.2396908869280152,lady
134,1.3350010667323402,1.072636802264849,1.1526795099383855,1.2396908869280152,1.845826690498331,0.9295359586241757,1.2396908869280152,1.2396908869280152,lamb
135,1.072636802264849,1.3350010667323402,1.6916760106710724,0.8649974374866046,1.2396908869280152,0.9985288301111273,1.55814461804655,1.845826690498331,lamp
136,1.072636802264849,1.3350010667323402,1.6916760106710724,0.8649974374866046,1.2396908869280152,0.9985288301111273,1.55814461804655,1.845826690498331,lamp
137,0.9985288301111273,0.8649974374866046,0.9295359586241757,0.6418538861723948,0.9295359586241757,1.845826690498331,0.9985288301111273,0.9985288301111273,leg
138,1.072636802264849,1.3350010667323402,1.6916760106710724,0.8649974374866046,1.2396908869280152,0.9985288301111273,1.55814461804655,1.845826690498331,light
139,0.9295359586241757,0.7472144018302211,0.8043728156701697,2.2512917986064953,1.845826690498331,0.6418538861723948,0.8649974374866046,0.8649974374866046,lion
140,1.072636802264849,1.3350010667323402,1.4403615823901665,0.8649974374866046,1.2396908869280152,0.9985288301111273,1.55814461804655,1.55814461804655,living_room
141,1.072636802264849,0.9295359586241757,0.9985288301111273,0.6931471805599453,0.9985288301111273,1.072636802264849,1.072636802264849,1.072636802264849,lunch
142,1.6916760106710724,1.1526795099383855,1.2396908869280152,1.1526795099383855,1.6916760106710724,1.2396908869280152,1.3350010667323402,1.3350010667323402,man
143,1.2396908869280152,1.072636802264849,1.1526795099383855,0.8043728156701697,1.1526795099383855,1.2396908869280152,1.2396908869280152,1.2396908869280152,meat
